,module,Top Level Definitions,Top Level Definitions,Top Level Definitions,Alternatives,Alternatives,Alternatives,Expressions,Expressions,Expressions
,module,%,covered / total,covered / total.1,%,covered / total,covered / total.1,%,covered / total,covered / total.1
0,module 2021li1g092-0.1.0.0-GFtQ5mTk4Ka8BNkwoAxPg2/Funcoesuteis,81%,9/11,,70%,22/31,,67%,139/207,
1,module 2021li1g092-0.1.0.0-GFtQ5mTk4Ka8BNkwoAxPg2/LI12122,13%,6/44,,-,0/0,,-,0/0,
2,module 2021li1g092-0.1.0.0-GFtQ5mTk4Ka8BNkwoAxPg2/Tarefa1_2021li1g092,100%,13/13,,81%,22/27,,88%,187/212,
3,module 2021li1g092-0.1.0.0-GFtQ5mTk4Ka8BNkwoAxPg2/Tarefa2_2021li1g092,100%,3/3,,100%,4/4,,100%,42/42,
4,module 2021li1g092-0.1.0.0-GFtQ5mTk4Ka8BNkwoAxPg2/Tarefa3_2021li1g092,100%,11/11,,86%,20/23,,88%,168/189,
5,module 2021li1g092-0.1.0.0-GFtQ5mTk4Ka8BNkwoAxPg2/Tarefa4_2021li1g092,100%,12/12,,96%,29/30,,93%,334/356,
6,,,,,,,,,,
7,Program Coverage Total,57%,54/94,,84%,97/115,,86%,870/1006,
